,,Employment and Wage Data,,,,,,Financial data (in thousands),,,,,,,Significant measures,,,,,,,,Solvency Data,,,,,,,,Claims data,,,,,,,,,,,Reimburseable Data,,,,,,,,,,Extended Benefits Data,,,,,,,,,Emergency Federal Programs,,,,
,,,,,,,,,,,,,,,Percent of total wages,,,Average employer tax rate as a % of taxable wages,Reserve ratio(% of total wages) as multiple of highest 12-month benefit cost rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Average monthly covered employment,Wages paid in covered employment during year (thousands),,Ratio of taxable to total wages,Average weekly wage in covered employment,,,,,,,,,Contributions collected,Benefits paid,Average employer tax rate,,Reserve ratio,High Cost,,Multiple,,,,,,,,,Number of first payments,Weeks compensated for all unemployment,Claimants exhausting benefits,,Average duration (in weeks),,,Weekly insured unemployed,,Average weekly benefit,,Average monthly covered employment,,,Total wages (in thousands),,,Average weekly wage in total covered employment,Benefits paid (in thousands),,,Financial data (in thousands),,,,Claims data,,,,,Financial data (in thousands),Claims data,,,
,,,Total,Taxable,,Total,Taxable,Contributions collected,Interest credited to trust fund,Benefits paid,Reserves as of Dec 31,Year End federal loans to state reserve funds balance,Year End net reserve balance,Year End taxable wage base,,,,,,Rate,12 mos. ending,,High Cost Years in last 20 years or 3 recessions,,,High Cost Rates for High Cost Years,,,3-year Average High Cost Rate,Average High Cost Multiple,,,Number,Exhaustion Rate (% of first payments),Potential,Actual,Actual for exhaustees,Average number,Percent of cov. employ.,Amount,Ratio to average weekly total wage,Total,Public,Nonprofit,Total,Public,Nonprofit,,Total,Public,Nonprofit,Total extended benefits paid,State share of extended benefits paid,Federal share of extended benefits paid,Federal share of regular benefits paid,Number of first payments,Weeks compensated for all unemployment,Number of claimants exhausting benefits,Average weekly benefit amount,Average compensable duration (actual),Total benefits paid,Number of first payments,Weeks compensated,Number of claimants exhausting benefits,Average weekly benefit amount
YR,ST,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c22a,c22a,c22a,c22b,c22b,c22b,c22c,c22d,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57
AK    ,  1960,         33412,        264054,        229300,    .868,  151.98,  131.98,          7291,             0,          5539,          4860,          8765,         -3905,          7200,  2.76,  2.10,  2.48,  2.86,   .00,   .00,                  ,   .00,  1954,  1955,  1958,   4.54,   3.94,   3.92,   4.13,    .00,          9370,        154224,          2398,  26.3,  25.3,  16.5,  24.5,          2972,   8.9,   36.45,   .240,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1961,         32416,        254143,        213931,    .842,  150.77,  126.91,          8061,             0,          7467,          5454,          8765,         -3311,          7200,  3.17,  2.94,  2.45,  2.91,   .00,   .00,                  ,   .00,  1954,  1955,  1958,   4.54,   3.94,   3.92,   4.13,    .00,         11333,        202315,          3247,  29.0,  25.2,  17.9,  24.7,          4098,  12.6,   37.42,   .248,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1962,         33102,        259892,        217624,    .837,  150.99,  126.43,          7488,             0,          6504,          6438,          8608,         -2170,          7200,  2.88,  2.50,  2.31,  2.76,   .00,   .00,                  ,   .00,  1954,  1955,  1958,   4.54,   3.94,   3.92,   4.13,    .00,          9738,        177656,          3238,  30.4,  25.2,  18.2,  24.5,          3492,  10.5,   37.12,   .246,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1963,         34097,        272079,        225518,    .829,  153.45,  127.19,          7788,             7,          6212,          8021,          8316,          -295,          7200,  2.86,  2.28,  2.38,  2.87,   .00,   .00,                  ,   .00,  1954,  1955,  1958,   4.54,   3.94,   3.92,   4.13,    .00,         10585,        168783,          2659,  26.2,  25.2,  15.9,  24.4,          3500,  10.2,   37.41,   .244,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1964,         36561,        314763,        255949,    .813,  165.56,  134.63,          8704,            28,          5486,         11267,          8090,          3177,          7200,  2.77,  1.74,  2.39,  2.94,   .00,   .00,                  ,   .00,  1954,  1955,  1958,   4.54,   3.94,   3.92,   4.13,    .00,          9585,        148959,          2408,  23.4,  25.3,  15.5,  24.4,          3028,   8.2,   37.41,   .226,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1965,         40158,        356782,        285308,    .800,  170.85,  136.63,         10258,           163,          5520,         16168,          7961,          8207,          7200,  2.88,  1.55,  2.34,  2.93,   .00,   .00,                  ,   .00,  1954,  1955,  1958,   4.54,   3.94,   3.92,   4.13,    .00,         10098,        145085,          2042,  22.0,  25.5,  14.4,  24.4,          3086,   7.6,   38.38,   .225,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1966,         41516,        380422,        296095,    .778,  176.22,  137.16,         10250,           338,          6586,         20260,          7681,         12579,          7200,  2.69,  1.73,  2.21,  2.84,   .00,   .00,                  ,   .00,  1954,  1955,  1958,   4.54,   3.94,   3.92,   4.13,    .00,         10484,        161787,          2438,  22.2,  26.2,  15.4,  24.8,          3413,   8.2,   40.34,   .229,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1967,         44303,        422494,        321292,    .760,  183.39,  139.46,         10967,           539,          7155,         20906,          3691,         17215,          7200,  2.60,  1.69,  2.16,  2.84,   .00,   .00,                  ,   .00,  1954,  1955,  1958,   4.54,   3.94,   3.92,   4.13,    .00,         10700,        163692,          2243,  21.6,  27.3,  15.3,  25.8,          3411,   7.7,   44.28,   .241,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1968,         46965,        472050,        349725,    .741,  193.29,  143.20,         11876,           731,          8493,         21283,             0,         21283,          7200,  2.52,  1.80,  2.10,  2.83,  4.51,   .00,                  ,   .00,  1954,  1955,  1958,   4.54,   3.94,   3.92,   4.13,   1.09,         11220,        177803,          2512,  22.7,  27.1,  15.9,  26.1,          3618,   7.7,   45.28,   .234,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1969,         52621,        564708,        409417,    .725,  206.38,  149.62,         13990,          1045,          7647,         28652,             0,         28652,          7200,  2.48,  1.35,  2.11,  2.91,  5.07,   .00,                  ,   .00,  1954,  1955,  1958,   4.54,   3.94,   3.92,   4.13,   1.23,         11607,        172382,          2199,  20.4,  27.3,  14.9,  25.9,          3558,   6.7,   45.55,   .221,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1970,         56278,        626584,        427950,    .683,  214.11,  146.23,         15593,          1520,         11165,         34541,             0,         34541,          7200,  2.49,  1.78,  1.96,  2.88,  5.51,   .00,                  ,   .00,  1954,  1955,  1958,   4.54,   3.94,   3.92,   4.13,   1.33,         15138,        227853,          2925,  22.6,  27.3,  15.1,  26.9,          4718,   8.3,   49.49,   .231,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1971,         59064,        672528,        451063,    .671,  218.97,  146.86,         15442,          1687,         13665,         37268,             0,         37268,          7200,  2.30,  2.03,  1.92,  2.87,  5.54,  4.33,AUG 58            ,  1.28,  1954,  1955,  1958,   4.54,   3.94,   3.92,   4.13,   1.34,         16390,        277575,          4605,  26.7,  27.2,  16.9,  26.5,          4471,   9.2,   48.29,   .220,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,          1046,           523,           523,           176,          1854,         23504,          1296,   44.43,    12.7,              ,              ,              ,              ,        
AK    ,  1972,         62696,        735075,        487027,    .663,  226.40,  148.39,         16890,          1760,         16055,         39640,             0,         39640,          7200,  2.30,  2.18,  5.37,  2.89,  5.39,  4.33,AUG 58            ,  1.24,  1954,  1955,  1958,   4.54,   3.94,   3.92,   4.13,   1.31,         18650,        309278,          4960,  27.4,  27.3,  16.6,  26.7,          5604,   8.5,   52.20,   .233,          3588,          2528,          1060,         36960,         28554,          8406,  198.10,             6,             5,             1,           292,           146,           146,           103,           643,          6551,           240,   44.69,    10.2,              ,              ,              ,              ,        
AK    ,  1973,         67392,        816841,        523635,    .641,  238.09,  149.42,         18189,          1977,         18604,         41477,             0,         41477,          7200,  2.23,  2.28,  1.83,  2.86,  5.08,  4.33,AUG 58            ,  1.17,  1954,  1955,  1958,   4.54,   3.94,   3.92,   4.13,   1.23,         19979,        331095,          5113,  28.3,  27.3,  16.6,  26.9,          5698,   8.0,   55.96,   .242,          3698,          2513,          1185,         38500,         29297,          9203,  200.21,           137,            93,            44,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1974,         84404,       1288745,        914506,    .710,  293.63,  208.36,         26122,          2253,         22703,         46910,             0,         46910,         10000,  2.03,  1.76,  1.85,  2.60,  3.64,  4.33,AUG 58            ,   .84,  1955,  1958,  1957,   3.94,   3.92,   3.39,   3.75,    .97,         19742,        334945,          4866,  23.5,  27.4,  17.0,  26.9,          6014,   6.8,   69.67,   .239,          3395,          2061,          1334,         39572,         27958,         11613,  224.15,           518,           338,           180,           170,            85,            85,            52,           713,          2796,             2,   61.77,     3.9,              ,              ,              ,              ,        
AK    ,  1975,        113802,       2460082,       1494077,    .607,  415.72,  252.48,         53648,          3094,         28709,         75364,             0,         75364,         10000,  2.18,  1.17,  2.34,  3.85,  3.06,  4.33,AUG 58            ,   .71,  1958,  1957,  1961,   3.92,   3.39,   2.94,   3.42,    .89,         26622,        389408,          4881,  22.2,  27.7,  14.6,  27.2,          7035,   5.9,   74.47,   .182,          4768,          3145,          1623,         62893,         46964,         15928,  253.67,           528,           317,           211,          2182,          1091,          1091,           216,          3781,         33131,          1778,   66.32,     8.8,              ,              ,              ,              ,        
AK    ,  1976,        123539,       3170185,       1659969,    .524,  493.49,  258.40,         71968,          4922,         53797,         94634,             0,         94634,         10000,  2.27,  1.70,  2.27,  4.34,  2.99,  4.33,AUG 58            ,   .69,  1958,  1957,  1961,   3.92,   3.39,   2.94,   3.42,    .87,         44321,        655267,          7321,  20.9,  27.7,  14.8,  27.3,          9732,   7.6,   81.82,   .169,          5122,          3067,          2055,         75629,         50811,         24818,  283.95,           695,           465,           230,          4172,          2086,          2086,           231,          6249,         59265,          2933,   71.51,     9.5,              ,              ,              ,              ,        
AK    ,  1977,        114861,       2610225,       1451027,    .556,  437.02,  242.94,         65681,          5224,         84793,         75346,             0,         75346,         10000,  2.52,  3.25,  2.44,  4.38,  2.89,  4.33,AUG 58            ,   .67,  1958,  1977,  1961,   3.92,   3.42,   2.94,   3.43,    .84,         50429,        951765,         14732,  28.9,  27.8,  18.9,  27.7,         13378,  11.1,   86.69,   .202,          5771,          3501,          2270,         88459,         59632,         28827,  294.77,           821,           475,           346,          9144,          4572,          4572,           539,         12919,        108168,          5814,   84.06,     8.4,              ,              ,              ,              ,        
AK    ,  1978,        112354,       2305023,       1254539,    .544,  394.53,  214.73,         60812,          3799,         81213,         56822,             0,         56822,         10000,  2.64,  3.52,  2.63,  4.84,  2.47,  4.33,AUG 58            ,   .57,  1978,  1977,  1961,   3.75,   3.42,   2.94,   3.37,    .73,         43079,        842290,         15078,  32.8,  27.8,  19.6,  27.7,         13443,   9.4,   85.01,   .216,         30064,         27573,          2491,        606955,        572718,         34237,  388.25,          1066,           710,           355,         10815,          5258,          5557,           658,         13833,        124372,          6977,   85.64,     9.0,              ,              ,              ,              ,        
